n00001740	entity
n00021939	non-living thing
n03051540	clothing (apparel)
n03419014	garment or clothing
n04230808	skirt, a type of clothing
n03534580	hoopskirt, a type of skirt
n03770439	miniskirt, a type of skirt
n03866082	overskirt, a type of skirt
n04136333	sarong, a type of skirt
n03594734	denim jeans, a type of pant
n02892767	bra, a type of undergarment
n03188531	diaper or nappy, a type of undergarment
n03595614	T-shirt, a type of clothing
n02963159	cardigan, a type of clothing
n04370456	sweatshirt, a type of clothing
n04371563	swimsuit or bathing suit, a type of clothing
n02837789	bikini or two-piece, a type of swimsuit
n03710721	tank suit or one-piece maillot, a type of swimsuit
n04371430	swimming trunks or bathing trunks, a type of swimsuit
n03450230	gown, a type of clothing
n03877472	pajamas or pyjamas, a type of clothing
n02730930	apron, a type of clothing
n04350905	men's suit, a type of clothing
n03763968	military uniform, a type of clothing
n03057021	coat, a type of clothing
n03404251	fur coat, a type of coat
n03630383	lab or laboratory coat, a type of coat
n04479046	trench coat, a type of raincoat
n04532106	vestment, a type of coat
n03980874	poncho, a type of coat
n03045698	cloak, a type of coat
n02669723	academic gown or robe, a type of clothing
n04097866	robe, a type of clothing
n02667093	abaya, a type of robe
n03617480	kimono, a type of robe
n03314378	face mask, a type of clothing
n04229816	balaclava ski mask, a type of facemask
n03724870	mask, a type of facemask
n03424325	gasmask or respirator, a type of facemask
n04272054	spectacles or glasses, a type of face accessory
n04356056	sunglasses or shades, a type of face accessory
dummy35	armor, a type of clothing
n02862048	body armor, a type of armor
n02916936	bulletproof vest, a type of armor
n03000247	chain mail or armor, a type of armor
n03146219	cuirass breastplate, a type of armor
n02895154	breastplate, a type of armor
n03816005	neckwear, a type of clothing
n03815615	necktie, a type of neckwear
n02834397	baby's bib, a type of neckwear
n03814639	neck brace, a type of neckwear
n02865351	bolo tie, a type of necktie
n02883205	bow tie, a type of necktie
n04591157	Windsor tie, a type of necktie
n04143897	scarf, a type of neckwear
n03325584	feather boa accessory, a type of neckwear
n04325704	stole scarf, a type of neckwear
n03814906	necklace, a type of jewellery
n03623198	knee pad, a type of protective clothin
n04254777	sock, a type of clothing
n03026506	Christmas stocking, a type of clothing
n03710637	maillot, a type of leotard tights
n03381126	footwear, a type of clothing
n03047690	clog, a type of footwear
n04199027	shoe, a type of footwear
n03680355	Loafer shoe, a type of shoe
n04120489	running shoe, a type of show
n04133789	sandal, a type of footwear
n03124043	cowboy boot, a type of footwear
n03502509	head covering or headgear, a type of clothing
n03513137	helmet, a type of head covering
n03127747	crash helmet, a type of helmet
n03379051	football helmet, a type of helmet
n03929855	pickelhaube or spiked helmet, a type of helmet
n03497657	hat, a type of head covering
n02817516	military hat (bearskin or shako), a type of hat
n02869837	poke bonnet hat, a type of hat
n03124170	cowboy hat, a type of hat
n04259630	sombrero,a type of hat
n02954340	cap, a type of head covering
n02807133	swimming cap, a type of cap
n03787032	graduation cap or mortarboard, a type of cap
n04209133	shower cap, a type of cap
n04584207	wig, a type of head covering
n03476684	hair clip, a type of hair accessory
n03527444	gun holster, a type of gun holder
n04141327	scabbard, a type of blade holder
n03485794	handkerchief or hanky, a type of cloth
n03141823	crutch, a type of medical equipment
n02773037	bag, a type of container
n02769748	backpack or rucksack, a type of bag
n03709823	mailbag, a type of bag
n03958227	plastic bag, a type of bag
n04026417	purse, a type of bag
n04507155	umbrella, a type of rain protector
n03490324	handwear, a type of clothing accessory
n03775071	mitten, a type of glove
n04447443	toiletry or toilet articles
n03113152	cosmetic, a type of toiletery
n03714235	makeup, a type of cosmetic
n03314780	face powder, a type of cosmetic
n03676483	lipstick or lip rouge, a type of cosmetic
n03128519	cream or ointment, a type of toiletery
n04357314	sunscreen or sunblock, a type of toiletery
n03690938	lotion, a type of toiletery
n03916031	perfume, a type of toiletery
n03476991	hair spray, a type of toiletery
n02786058	Band Aid, a type of bandage
n03100490	transport vehicle, a type of vehicle
n04576211	wheeled vehicle, a type of transport vehicle
n03791235	automotive vehicle, a type of wheeled vehicle
n02958343	car or automobile, a type of automotive vehicle
n02701002	ambulance, a type of emergency automotive vehicle
n02814533	beach wagon or station wagon, a type of automotive vehicle
n02930766	cab or taxi, a type of automotive vehicle
n03100240	convertible car, a type of automobile vehicle
n03594945	jeep or landrover, a type of automobile vehicle
n03670208	limousine or limo, a type of automobile vehicle
n03770679	minivan, a type of automobile vehicle
n03777568	Ford Model T car, a type of automobile vehicle
n04037443	race car or racing car, a type of automobile vehicle
n04285008	sports car, sport car, a type of automobile vehicle
n03444034	go-kart, a type of automobile vehicle
n03445924	golfcart, golf cart, a type of automobile vehicle
n03977966	police van, a type of automobile vehicle
n04490091	truck or motortruck, a type of automotive vehicle
n03345487	fire engine, a type of truck
n03417042	garbage truck, a type of truck
n03930630	pickup truck, a type of truck
n04461696	tow truck, a type of truck
n04467665	trailer truck, a type of truck
n04465501	tractor, a type of truck
n04252225	snowplow or snowplough, a type of truck
n03796401	moving van, a type of truck
n03384352	forklift, a type of truck
n03790512	motor cycle or motor bike, a type of automotive vehicle
n03785016	moped, a type of motor cycle
n03791053	motor scooter, a type of motor cycle
n02924116	bus, a type of automotive vehicle
n03769881	minibus, a type of bus
n04146614	school bus, a type of bus
n04487081	trolleybus, a type of bus
n04065272	recreational vehicle or RV, a type of automotive vehicle
n04464852	tracked vehicle, a type of wheeled transport vehicle
n03478589	half track, a type of tracked vehicle
n04252077	snowmobile, a type of tracked vehicle
n04389033	army tank, a type of tracked vehicle
n02704792	amphibious vehicle, a type of tracked vehicle
n04468005	railroad train, a type of wheeled transport vehicle
n02917067	bullet train, a type of railroad train
n03684823	railway locomotive engine, a type of railroad train
n03272562	electric locomotive, a type of railroad train
n04310018	steam locomotive, a type of railroad train
n04335435	tramcar or trolley car, a type of railroad train
n02959942	railroad car, a type of railroad train
n03393912	freight car, a type of railroad car
n03895866	passenger coach, a type of railroad car
n02970849	cart, a type of wheeled vehicle
n03538406	horse cart, a type of cart
n03599486	jinrikisha or rickshaw, a type of cart
n03868242	oxcart or bullock cart, a type of cart
n03484083	handcart or pushcart, a type of cart
n02797295	wheelbarrow, a type of cart
n04204347	shopping cart, a type of cart
dummy30	cycle, a type of wheeled vehicle
n02834778	bicycle or bike, a type of cycle
n02835271	bicycle-built-for-two or tandem bicycle, a type of cycle
n03792782	all-terrain mountain bike,  a type of cycle
n04482393	tricycle, a type of cycle
n04509417	unicycle or monocycle, a type of cycle
n03125870	craft vehicle, a type of transport vehicle
n04266014	space craft or space shuttle, a type of craft vehicle
n02686568	aircraft, a type of craft vehicle
n04552348	warplane or military plane, a type of craft vehicle
n02691156	airplane or aeroplane, a type of craft vehicle
n02690373	airliner, a type of craft vehicle
n02692877	airship, a type of craft vehicle
n02782093	balloon, a type of craft vehicle
n04530566	vessel or watercraft, a type of craft vehicle
n02858304	boat, a type of watercraft 
n03344393	fireboat, a type of boat
n03447447	gondola, a type of boat
n04128499	sailboat or sailing boat, a type of boat
n02981792	catamaran, a type of sailing boat
n04483307	trimaran, a type of sailing boat
n03662601	lifeboat, a type of boat
n04273569	speedboat, a type of boat
n02951358	canoe, a type of boat
n04612504	yawl, a type of boat
n04194289	ship, a type of watercraft 
n03947888	pirate ship, a type of ship 
n04606251	shipwreck, a type of destroyed ship 
n03095699	container ship, a type of cargo ship 
n02687172	aircraft carrier, a type of ship 
n03673027	ocean liner ship, a type of passenger ship 
n04147183	schooner, a type of sailing ship
n04347754	submarine, a type of watercraft
n04235291	sled or sledge or sleigh, a type of transport vehicle
n02860847	bobsled or bobsleigh, a type of sled
n03218198	dogsled or dog sleigh, a type of sled
n03405265	furnishing, a type of decorative house accessory
n03405725	piece of furniture, a type of furnishing
n04379243	table, a type of furniture
n03179701	desk, a type of furniture
n03982430	pool table or billiard table (snooker), a type of furniture
n03201208	dining table, a type of furniture
n03290653	entertainment center, a type of furnishing
n02870880	bookcase, a type of furniture
n04550184	wardrobe or closet, a type of furniture
n02933112	storage cabinet, a type of furniture
n03018349	china cabinet, a type of cabinet
n03742115	medicine chest, a type of cabinet
n03337140	file cabinet, a type of cabinet
n03016953	chiffonier or commode, a type of chest of drawers
n04447861	toilet seat, a type of toilet furnishing
n03001627	chair, a type of furniture
n02791124	barber chair, a type of chair
n03376595	folding chair, a type of chair
n04099969	rocking chair, a type of chair
n04429376	throne, a type of chair
n04344873	studio couch, a type of sofa
n03891251	park bench, a type of furniture
n02821943	bedroom furniture, a type of furniture
n03388549	four-poster bed, a type of bed
n02766320	baby bed, a type of bed
n02804414	bassinet, a type of baby's bed
n03125729	cradle, a type of baby's bed
n03131574	crib or baby cot, a type of baby's bed
n04151581	screen, a type of furnishing
n03347037	fire screen, a type of screen
n03788365	mosquito net, a type of screen
n04589890	window screen, a type of screen
n04201297	shoji screen or room divider, a type of screen
n04590129	window shade, a type of screen
n03014705	storage chest, a type of furniture
n04239074	sliding door, a type of furniture
n03938244	pillow or cushion, a type of furnishing
n03998194	prayer rug or mat, a type of carpet
n03223299	doormat, a type of welcome mat
n04033995	quilt or comforter, a type of bedroom furnishing
n03636649	lamp, a type of source of light furnishing
n04380533	table lamp, a type of lamp
n03637318	lampshade, a type of lamp furnishing
n03932670	piece of cloth, a type of cloth
n03207743	dishrag, a piece of cloth
n04459362	towel, a piece of cloth
n02808304	bath towel, a type of towel
n03887697	paper towel, a type of towel
n03151077	curtains or drapes, a type of furnishing
n04209239	shower curtain, a type of curtain
n04418357	theater or front curtain, a type of theatre curtain
n00021265	food, a type of nutrient
n07570720	cooked food, a type of prepared food
n07622061	baked goods, a type of cooked food
n07693725	bagel, a type of baked food
n07695742	pretzel, a type of baked food
n07684084	French bread loaf, a type of baked food
n07557434	dish of food, a type of cooked food
n07871810	meat loaf, a type of a dish of food
n07873807	pizza, a type of a dish of food
n07875152	potpie, a type of a dish of food
n07880968	burrito, a type of a dish of food
n07584110	consomme, a type of soup dish
n07590611	hot pot, a type of soup stew dish
n07711569	mashed potato, a type of a dish of food
n07697537	hotdog, a type of a dish of food
n07697313	cheeseburger or hamburger, a type of a dish of food
n07831146	carbonara pasta, a type of dish of food
n07583066	guacamole, a type of dish of food
n07609840	dessert or sweet, a type of food
n07611358	frozen dessert, a type of dessert
n07614500	ice cream, a type of frozen dessert
n07615774	ice lolly or popsicle, a type of frozen dessert
n07613480	trifle pudding, a type of dessert
n07836838	chocolate sauce, a type of dessert condiment
n07707451	vegetable, a type of food
n07718472	cucumber, a type of vegetable
n07718747	artichoke, a type of vegetable
n07730033	cardoon artichoke thisle, a type of vegetable 
n07734744	edible mushroom, a type of edible fungus
n07715561	squash vegetable, a type of vegetable
n07717070	winter squash, a type of squash vegetable
n07717410	acorn squash, a type of squash vegetable
n07717556	butternut squash, a type of squash vegetable
n07716358	zucchini or courgette, a type of vegetable
n07716906	spaghetti squash, a type of vegetable
n07720875	bell pepper, a type of pepper
n07714990	broccoli, a type of cruciferous vegetable
n07715103	cauliflower, a type of cruciferous vegetable
n07714571	head cabbage, a type of cruciferous vegetable
n13134947	fruit, a type of food
n12267677	acorn, a type of fruit
n12620546	rose hip, a type of fruit
n13133613	ear of corn, a type of fruit
n07753113	fig, a type of fruit
n07753275	pineapple, a type of fruit
n07753592	banana, a type of fruit
n07754684	jackfruit, a type of fruit
n07760859	custard apple, a type of fruit
n07768694	pomegranate, a type of fruit
n07742313	Granny Smith apple, a type of fruit
n07745940	strawberry, a type of fruit
n07747055	citrus fruit, a type of fruit
n07747607	orange, a type of fruit
n07749582	lemon, a type of fruit
n12768682	buckeye or horse chestnut, a type of fruit
n11879895	rapeseed, a type of fruit
n12144580	corn, a type of fruit
n07881800	beverage or drink, a type of food
n07920052	espresso, a type of coffee beverage
n07892512	red wine, a type of alcoholic beverage 
n07930554	punch, a type of alcoholic beverage
n07932039	eggnog, a type of alcoholic beverage
n02913152	building, a type of man-made construction
n03953416	place of worship or house of prayer, a type of building
n03028079	church, a place of worship
n03788195	mosque, a place of worship
n04346328	stupa, a type of shrine monument
n03032252	cinema, a type of movie theater
n04187547	shed, a type of building
n02727426	apiary, a type of bee shed
n02859443	boathouse, a type of shed
n02793495	barn, a type of building
n03457902	greenhouse, a type of glasshouse building
n03697007	lumbermill, a type of factory building
n03748162	retail store or shop, a type of sales building
n03461385	grocery store, a type of food market building
