Started run at: 1713782129.94 seconds
Run folder: data/imagenet_hierarchy_k_0.75_22_04/v2-0_1trials_500_50_10_1keep_50_100_500_1000samples
Setting up dataset and prompts

Loading pretrained models...

Loading noise...

Tokenizing text prompts and creating embeddings...

Load subset to evaluate

Evaluating predictions: 

Inference time: 1763.64 seconds 

Inference time: 1876.67 seconds 

Inference time: 1773.09 seconds 

Inference time: 1880.90 seconds 

Inference time: 1426.26 seconds 

Inference time: 1940.09 seconds 

Inference time: 1499.49 seconds 

Inference time: 2100.78 seconds 

Inference time: 1998.82 seconds 

Inference time: 2130.65 seconds 

Inference time: 1822.29 seconds 

Inference time: 1552.01 seconds 

Inference time: 1932.30 seconds 

Inference time: 1716.08 seconds 

Inference time: 1394.00 seconds 

Inference time: 1629.97 seconds 

Inference time: 1673.98 seconds 

Inference time: 1591.64 seconds 

Inference time: 1414.41 seconds 

Inference time: 1572.29 seconds 

Inference time: 1849.13 seconds 

Inference time: 1620.80 seconds 

Inference time: 1590.69 seconds 

Inference time: 1831.79 seconds 

Inference time: 873.69 seconds 

Inference time: 1511.67 seconds 

Inference time: 1346.03 seconds 

Inference time: 1134.67 seconds 

Inference time: 1734.85 seconds 

Inference time: 1887.13 seconds 

Inference time: 1774.30 seconds 

Inference time: 1558.56 seconds 

Inference time: 1360.38 seconds 

Inference time: 1875.60 seconds 

Inference time: 1538.98 seconds 

Inference time: 1466.49 seconds 

Inference time: 1917.52 seconds 

Inference time: 1729.02 seconds 

Inference time: 1627.43 seconds 

Inference time: 1874.00 seconds 

Inference time: 1804.09 seconds 

Inference time: 1895.40 seconds 

Inference time: 1726.28 seconds 

Inference time: 1789.91 seconds 

Inference time: 1405.20 seconds 

Inference time: 1862.10 seconds 

Inference time: 1810.94 seconds 

Inference time: 1176.25 seconds 

Inference time: 1466.51 seconds 

Inference time: 1864.09 seconds 

Inference time: 1833.82 seconds 

Inference time: 1797.43 seconds 

Inference time: 1834.41 seconds 

Inference time: 1889.78 seconds 

Inference time: 1601.09 seconds 

Inference time: 1854.52 seconds 

Inference time: 1356.37 seconds 

Inference time: 1506.19 seconds 

Inference time: 1530.70 seconds 

Inference time: 2018.47 seconds 

Inference time: 1890.60 seconds 

Inference time: 1578.36 seconds 

Inference time: 1695.97 seconds 

Inference time: 1950.69 seconds 

Inference time: 1782.44 seconds 

Inference time: 1855.35 seconds 

Inference time: 1630.28 seconds 

Inference time: 1380.96 seconds 

Inference time: 977.33 seconds 

Inference time: 2110.58 seconds 

Inference time: 1615.15 seconds 

Inference time: 1389.12 seconds 

Inference time: 1561.89 seconds 

Inference time: 1676.02 seconds 

Inference time: 1714.51 seconds 

Inference time: 905.47 seconds 

Inference time: 1505.20 seconds 

Inference time: 1724.98 seconds 

Inference time: 1167.28 seconds 

Inference time: 1828.42 seconds 

Inference time: 1769.58 seconds 

Inference time: 1589.99 seconds 

Inference time: 1316.63 seconds 

Inference time: 1607.12 seconds 

Inference time: 1640.04 seconds 

Inference time: 1460.47 seconds 

Inference time: 1692.08 seconds 

Inference time: 1493.30 seconds 

Inference time: 1407.85 seconds 

Inference time: 1976.26 seconds 

Inference time: 1633.41 seconds 

Inference time: 1715.73 seconds 

Inference time: 1761.65 seconds 

Inference time: 1683.50 seconds 

Inference time: 1645.17 seconds 

Inference time: 1365.14 seconds 

Inference time: 1241.20 seconds 

Inference time: 1350.53 seconds 

Inference time: 1552.79 seconds 

Inference time: 1943.67 seconds 

Inference time: 1866.15 seconds 

Inference time: 1550.57 seconds 

Inference time: 1793.38 seconds 

Inference time: 1619.72 seconds 
