index,node,prompt,class_name,is_leaf,classidx
0,n00004258,a photo of a living thing.,living thing,0,99999
1,n00021939,a photo of a non-living thing.,non-living thing,0,99999
2,n03743902,"a photo of a memorial monument buiding.",memorial monument,0,99999
3,n04272054,"a photo of a spectacles or glasses.",spectacles or glasses,0,99999
4,n03074380,"a photo of a column or pillar buiding.",column or pillar,0,99999
5,n03126707,a photo of a construction crane.,construction crane,1,517
6,n02898711,"a photo of a bridge buiding.",bridge,0,99999
7,n02999410,"a photo of a chain connector.",chain,1,488
8,n03804744,a photo of a metal nail.,nail,1,677
9,n03976657,"a photo of a pole rod.",pole,1,733
10,n04116512,"a photo of a rubber pencil eraser.",rubber pencil eraser,1,767
11,n03530642,a photo of a honeycomb.,honeycomb,1,599
12,n03682487,a photo of a lock.,lock,0,99999
13,n02913152,"a photo of a building.",building,0,99999
14,n04507155,"a photo of a umbrella.",umbrella,1,879
15,n03764736,a photo of a milk can.,milk can,1,653
16,n02840245,a photo of a ring binder.,ring binder,1,446
17,n07565083,a photo of a restaurant menu.,restaurant menu,1,922
18,n04254120,a photo of a soap dispenser.,soap dispenser,1,804
19,n04067472,a photo of a fishing casting reel.,fishing casting reel,1,758
20,n03692522,"a photo of a jeweler's loupe magnifying glass.",jeweler's loupe magnifying glass,1,633
21,n03717622,a photo of a manhole cover.,manhole cover,1,640
22,n04258138,a photo of a solar thermal collector.,solar thermal collector,1,807
23,n03621049,"a photo of a kitchen utensil,.",kitchen utensil,0,99999
24,n02808440,a photo of a bathtub.,bathtub,1,435
25,n03476684,"a photo of a hair clip.",hair clip,1,584
26,n02965783,"a photo of a car mirror.",car mirror,1,475
27,n03733131,"a photo of a may pole support structure.",may pole,1,645
28,n03899768,"a photo of a patio or terrace building.",patio or terrace,1,706
29,n03868863,"a photo of a oxygen mask breathing device.",oxygen mask,1,691
30,n03871628,a photo of a product packet or packaging.,product packet or packaging,1,692
31,dummy700,a photo of a box.,box,0,99999
32,n06785654,"a photo of a crossword puzzle game.",crossword puzzle,1,918
33,n02795169,a photo of a barrel.,barrel,1,427
34,n02666196,"a photo of a abacus calculation instrument.",abacus,1,398
35,n03498962,"a photo of a hatchet axe.",hatchet,1,596
36,n04285146,"a photo of a sports equipment.",sports equipment,0,99999
37,n00015388,a photo of a animal.,animal,0,99999
38,n02876657,"a photo of a bottle.",bottle,0,99999
39,n02773037,"a photo of a bag.",bag,0,99999
40,n03920288,a photo of a petri dish.,petri dish,1,712
41,n04565375,"a photo of a weapon.",weapon,0,99999
42,n04399382,"a photo of a teddy bear plaything.",teddy bear,1,850
43,n02951585,"a photo of a can opener.",can opener,1,473
44,n02880940,"a photo of a bowl kitchen utensil.",bowl,0,99999
45,n03935335,"a photo of a piggy bank.",piggy bank,1,719
46,n02815834,a photo of a beaker.,beaker,1,438
47,n03598930,"a photo of a jigsaw puzzle game.",jigsaw puzzle,1,611
48,n03063599,"a photo of a coffee mug.",coffee mug,1,504
49,n03888257,"a photo of a parachute rescue equipment.",parachute,1,701
50,n06596364,a photo of a comic book.,comic book,1,917
51,n03933933,a photo of a pier.,pier,1,718
52,n03489162,"a photo of a hand tool.",hand tool,0,99999
53,n00007846,a photo of a person or human being.,person or human being,0,99999
54,n12992868,"a photo of a fungus organism.",fungus,0,99999
55,n03527444,"a photo of a gun holster.",gun holster,1,597
56,n04217882,"a photo of a signboard.",signboard,0,99999
57,n04493381,a photo of a hot tub.,hot tub,1,876
58,n03906997,"a photo of a pen.",pen,0,99999
59,n03216828,"a photo of a dock or docking facility building.",dock or docking facility,1,536
60,n03405265,"a photo of a furnishing.",furnishing,0,99999
61,n03100490,"a photo of a transport vehicle.",transport vehicle,0,99999
62,n04522168,"a photo of a vase.",vase,1,883
