index,node,prompt,class_name,is_leaf,classidx
0,n00004258,a photo of a living thing.,living thing,0,99999
1,n00021939,a photo of a non-living thing.,non-living thing,0,99999
2,n02978881,a photo of a cassette.,cassette,1,481
3,n03527444,a photo of a gun holster.,gun holster,1,597
4,n04493381,a photo of a hot tub.,hot tub,1,876
5,n03240683,a photo of a drilling offshore rig.,drilling offshore rig,1,540
6,n04275548,a photo of a spider web.,spider web,1,815
7,n04127249,a photo of a safety pin.,safety pin,1,772
8,n06359193,a photo of a web site.,web site,1,916
9,n03933933,a photo of a pier.,pier,1,718
10,n09229709,a photo of a bubble.,bubble,1,971
11,n00017222,a photo of a plant life.,plant life,0,99999
12,n03492542,a photo of a hard disk drive.,hard disk drive,1,592
13,n03976657,a photo of a pole.,pole,1,733
14,n04336792,a photo of a medical stretcher.,stretcher,1,830
15,n04371774,a photo of a swing.,swing,1,843
16,n03065424,a photo of a spiral or coil.,spiral or coil,1,506
17,n07248320,a photo of a book jacket.,book jacket,1,921
18,n03950228,a photo of a drink pitcher.,drink pitcher,1,725
19,n02841315,a photo of a binoculars or field glasses.,binoculars or field glasses,1,447
20,n03825788,a photo of a baby pacifier.,baby pacifier,1,680
21,n02898711,a photo of a bridge.,bridge,0,99999
22,n03278248,a photo of a electronic appliance.,electronic appliance,0,99999
23,n02966193,a photo of a carousel.,carousel,1,476
24,n04553703,a photo of a sink.,sink,1,896
25,n03658185,a photo of a letter opener.,letter opener,1,623
26,n03804744,a photo of a metal nail.,metal nail,1,677
27,n04562935,a photo of a water tower.,water tower,1,900
28,n02909870,a photo of a bucket.,bucket,1,463
29,n04049303,a photo of a rain water barrel.,rain water barrel,1,756
30,n03876231,a photo of a paintbrush.,paintbrush,1,696
31,n07579787,a photo of a plate of food.,plate,1,923
32,n03908714,a photo of a pencil sharpener.,pencil sharpener,1,710
33,n00007846,a photo of a person or human being.,person or human being,0,99999
34,n02825657,a photo of a bell cote or bell tower.,bell cote or bell tower,1,442
35,n03051540,a photo of a clothing (apparel).,clothing (apparel),0,99999
36,n03074380,a photo of a column or pillar.,column or pillar,0,99999
37,n03598930,a photo of a jigsaw puzzle.,jigsaw puzzle,1,611
38,n03743902,a photo of a memorial monument.,memorial monument,0,99999
39,n03109150,a photo of a corkscrew.,corkscrew,1,512
40,n02954938,a photo of a cap.,cap,0,99999
41,n04597913,a photo of a wooden spoon.,wooden spoon,1,910
42,n04548362,a photo of a wallet storage.,wallet storage,1,893
43,n04285146,a photo of a sports equipment.,sports equipment,0,99999
44,n04579432,a photo of a whistle.,whistle,1,902
45,n02815834,a photo of a beaker.,beaker,1,438
46,n12992868,a photo of a fungus.,fungus,0,99999
47,n04272054,a photo of a spectacles or glasses.,spectacles or glasses,0,99999
48,n07565083,a photo of a restaurant menu.,restaurant menu,1,922
49,n03786901,a photo of a mortar and pestle.,mortar and pestle,1,666
50,n02699494,a photo of a altar.,altar,1,406
51,n04456115,a photo of a flame torch.,torch,1,862
52,n04116512,a photo of a rubber pencil eraser.,rubber pencil eraser,1,767
53,n03621049,a photo of a kitchen utensil.,kitchen utensil,0,99999
54,n02913152,a photo of a building.,building,0,99999
55,n03991062,a photo of a plant pot.,plant pot,1,738
56,n06785654,a photo of a crossword puzzle.,crossword puzzle,1,918
57,n04522168,a photo of a vase.,vase,1,883
58,n03871628,a photo of a product packet or packaging.,product packet or packaging,1,692
59,n02876657,a photo of a bottle.,bottle,0,99999
60,n03733131,a photo of a may pole structure.,may pole structure,1,645
61,n04105068,a photo of a roof or ceiling of building.,roof or ceiling of building,0,99999
62,n03666591,a photo of a lighter or igniter.,lighter or igniter,1,626
63,n04141327,a photo of a scabbard.,scabbard,1,777
64,n03532672,a photo of a hook.,hook,1,600
65,dummy700,a photo of a box.,box,0,99999
