index,node,prompt,class_name,is_leaf,classidx
0,n00004258,a photo of a living thing.,living thing,0,99999
1,n00021939,a photo of a non-living thing.,non-living thing,0,99999
2,n02747177,a photo of a trash can.,trash can,1,412
3,n03871083,a photo of a package.,package,0,99999
4,dummy555,a photo of a kitchen implement.,kitchen implement,0,99999
5,n02954938,a photo of a cap.,cap,0,99999
6,n02840245,a photo of a ring binder.,ring binder,1,446
7,n03489162,a photo of a hand tools.,hand tools,0,99999
8,n03530642,a photo of a honeycomb.,honeycomb,1,599
9,dummy131,a photo of a cleaning equipment.,cleaning equipment,0,99999
10,n02808440,a photo of a bathtub.,bathtub,1,435
11,n00021265,a photo of a food.,food,0,99999
12,n03739693,a photo of a medical instrument.,medical instrument,0,99999
13,n04548362,a photo of a wallet.,wallet,1,893
14,n03405265,a photo of a furnishing.,furnishing,0,99999
15,n02966193,a photo of a carousel.,carousel,1,476
16,n04258138,a photo of a solar thermal collector.,solar thermal collector,1,807
17,n04264628,a photo of a keyboard space bar.,keyboard space bar,1,810
18,n03876231,a photo of a paintbrush.,paintbrush,1,696
19,n04141327,a photo of a scabbard.,scabbard,1,777
20,dummy660,a photo of a connection.,connection,0,99999
21,dummy105,a photo of a fabric.,fabric,0,99999
22,n04067472,a photo of a fishing casting reel.,fishing casting reel,1,758
23,n07248320,a photo of a book jacket or cover.,book jacket or cover,1,921
24,n03438257,a photo of a drinking glass.,drinking glass,0,99999
25,n04579432,a photo of a whistle.,whistle,1,902
26,dummy654,a photo of a disk.,disk,0,99999
27,n02978881,a photo of a cassette.,cassette,1,481
28,n04341686,a photo of a man-made structure.,man-made structure,0,99999
29,n03717622,a photo of a manhole cover.,manhole cover,1,640
30,n03868863,a photo of a oxygen mask.,oxygen mask,1,691
31,n04100174,a photo of a rod.,rod,0,99999
32,n02729837,a photo of a electric appliance.,electric appliance,0,99999
33,n04254120,a photo of a soap dispenser.,soap dispenser,1,804
34,n03837422,a photo of a oar.,oar,0,99999
35,n04371774,a photo of a swing.,swing,1,843
36,n00015388,a photo of a animal.,animal,0,99999
37,dummy190,a photo of a wheel.,wheel,0,99999
38,n03621049,a photo of a kitchen utensil.,kitchen utensil,0,99999
39,n03682487,a photo of a lock.,lock,0,99999
40,n04021798,a photo of a pump.,pump,0,99999
41,n04493381,a photo of a hot tub.,hot tub,1,876
42,n07565083,a photo of a menu.,menu,1,922
43,n03797390,a photo of a mug.,mug,0,99999
44,n04147495,a photo of a scientific instrument.,scientific instrument,0,99999
45,n04077734,a photo of a rescue equipment.,rescue equipment,0,99999
46,n04275548,a photo of a spider web.,spider web,1,815
47,n00007846,a photo of a person.,person,0,99999
48,dummy101,a photo of a games.,games,0,99999
49,n03100490,a photo of a transport vehicle.,transport vehicle,0,99999
50,n02880940,a photo of a bowl.,bowl,0,99999
51,n02909870,a photo of a bucket.,bucket,1,463
52,dummy666,a photo of a medical equipment.,medical equipment,0,99999
53,n03920288,a photo of a petri dish.,petri dish,1,712
54,n03666591,a photo of a lighter or igniter.,lighter or igniter,1,626
55,dummy700,a photo of a box.,box,0,99999
56,n04049303,a photo of a rain water barrel.,rain water barrel,1,756
57,dummy103,a photo of a book.,book,0,99999
58,n02876657,a photo of a bottle.,bottle,0,99999
59,n04285146,a photo of a sports equipment.,sports equipment,0,99999
60,dummy111,a photo of a jar.,jar,0,99999
61,n09229709,a photo of a bubble.,bubble,1,971
62,n03154073,a photo of a cutter.,cutter,0,99999
63,dummy98,a photo of a heating device.,heating device,0,99999
64,n03291819,a photo of a envelope.,envelope,1,549
65,n07579787,a photo of a plate.,plate,1,923
66,n04332243,a photo of a strainer.,strainer,1,828
67,n03908714,a photo of a pencil sharpener.,pencil sharpener,1,710
68,n04437953,a photo of a timepiece or clock.,timepiece or clock,0,99999
